"_id","created_on","date_time","node_id","ppl_in","ppl_out"
"ObjectId(""5974f6da901f02f00d00518e"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500839373821","99","0","0"
"ObjectId(""5974f6da901f02080e004e0e"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838703855","101","0","0"
"ObjectId(""5974f6da901f024c0e006b61"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836002891","101","0","0"
"ObjectId(""5974f6da901f02140e004e1a"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833372443","99","0","0"
"ObjectId(""5974f6db901f02180e002d45"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833302174","101","0","0"
"ObjectId(""5974f6db901f02040e005064"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833672526","99","0","0"
"ObjectId(""5974f6db901f02ec0d004e25"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833902375","101","0","0"
"ObjectId(""5974f6db901f022c0e008441"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500839073720","99","0","0"
"ObjectId(""5974f6dc901f02000e004dc2"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838173536","99","0","0"
"ObjectId(""5974f6dc901f024c0e006b63"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833602262","101","0","0"
"ObjectId(""5974f6dc901f02ec0d004e27"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500834802522","101","0","0"
"ObjectId(""5974f6dd901f02e00d004ce9"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837503369","101","0","0"
"ObjectId(""5974f6dd901f02dc0d0051fd"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836603054","101","0","0"
"ObjectId(""5974f6dd901f02fc0d004ed8"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838103724","101","0","0"
"ObjectId(""5974f6dd901f021c0e001846"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500839003941","101","0","0"
"ObjectId(""5974f6dd901f02180e002d47"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836073092","99","0","0"
"ObjectId(""5974f6de901f02fc0d004ed9"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838773695","99","0","0"
"ObjectId(""5974f6de901f02000e004dc4"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837573462","99","0","0"
"ObjectId(""5974f6de901f02f40d004aee"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836673209","99","0","0"
"ObjectId(""5974f6df901f02000e004dc6"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833072306","99","0","0"
"ObjectId(""5974f6df901f02dc0d005200"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500834272602","99","0","0"
"ObjectId(""5974f70d901f02fc0d004f20"")","ISODate(""2017-07-24T03:20:00.000+08:00"")","1500837738207","111","0","0"
"ObjectId(""5974f70d901f023c0e003a26"")","ISODate(""2017-07-24T03:20:00.000+08:00"")","1500836620564","110","0","0"
